Intent,Query,Responses
Acad_Axi_CD_L2_EjemMotores de busqueda,Search engine examples,"Algunos ejemplos de motores de búsqueda son: Google, Baidu, Bing, Yahoo!, Yandex, Ask, DuckDuckGo, Naver, Seznam, y AOL. Dá click aquí para más información relacionada"
Acad_Axi_CD_L2_Internet,What is the internet?,"En términos generales, puede definirse como la red de redes de dispositivos electrónicos de alcance mundial. Dá click aquí para más información relacionada"
Acad_Axi_CD_L2_Intranet,What is Intranet?,"En términos generales, se define como una red informática privada, que pertenece a una empresa u organización. Dá click aquí para más información relacionada"
Acad_Axi_CD_L2_Lenguaje controlado,What is Controlled Language?,"Controlled language is the type of language generally used by library catalogs, where search terms are strictly standardized. Click here for more related information."
Acad_Axi_CD_L2_Motor de búsqueda,What is Search Engine?,"Motor de búsqueda es el elemento que emplean los navegadores actuales para localizar información, aunque se desconozca la dirección URL. Dá click aquí para más información relacionada"
Acad_Axi_CD_L2_Navegador,Browser functions?,"Una de las principales funciones del navegador (software de aplicación) es interpretar los códigos HTML y CSS, para mostrarlos en la interfaz de usuario. Dá click aquí para más información relacionada"
Acad_Axi_CD_L2_NOT,What is NOT?,NOT: It is the Boolean operator that is used to locate documents that include the first term and do not contain the next specified term. Click here for more related information.
Acad_Axi_CD_L2_OR,What is OR?,"OR: Es el operador booleano que se utiliza cuando se desea que los resultados de búsqueda incluyan documentos que tengan los dos términos especificados a la vez, así como aquellos que sólo contengan alguno de los dos términos. Dá click aquí para más información relacionada"
Acad_Axi_CD_L2_TCP,What is TCP?,"Es el protocolo que permite que la comunicación entre los dispositivos conectados a internet se realice libre de errores, sin pérdidas y con seguridad. Dá click aquí para más información relacionada"
Acad_Axi_CD_L2_Web 2.0,"In web 2.0, who is the main character?",The user is the main protagonist in Web 2.0. Click here for more related information.
Acad_Axi_CD_L3_Base de datos,Database,The main function of the Internet Database is that it allows users to search for information.
Acad_Axi_CD_L3_Blog,Blog,"El Blog, es un servicio de internet cuya función principal permite al usuario publicar contenidos digitales en post que se organizan cronológicamente."
Acad_Axi_CD_L3_Buenas prácticas al navegar por internet,Good practices when browsing the internet,Buenas prácticas al navegar por internet *Evitar conectarse a las redes wifi públicas o gratuitas disponibles. *Descargar aplicaciones desde las tiendas o páginas web oficiales. *Asegurarse de que la página web donde se ingresan datos sensibles empiece con HTTPS. *Cambiar periódicamente las contraseñas en los diferentes servicios de internet. *Cifrar la información sensible y los datos personales antes de compartirlos. *No permitir a cookies de terceros almacenar tus registros de navegación.
Acad_Axi_CD_L3_Chat,Chat,Chat is an internet service whose main function allows users to communicate with others through the exchange of messages in real time.
Acad_Axi_CD_L3_Cloud,Cloud,Cloud is a type of internet service that can be used to share large files by sharing a shared link.
Acad_Axi_CD_L3_e-mail,e-mail,"E-mail is one of the most traditional methods of sharing files over the internet, by means of an attachment."
Acad_Axi_CD_L3_Navegador,Browser,It is the standard tool with which the end user accesses Cloud Computing services.
ACAD_AXI_CD_L3_P2P,P2P,"P2P is the internet service that allows users to share files, based on communication between peers and is structured as a point-to-point exchange system."
Acad_Axi_CD_L3_PaaS,PaaS,"Platform as a service (PaaS), is the type of service offered by Cloud Computing providers, which consists of the delivery, as a service, of a set of computing platforms."
Acad_Axi_CD_L4_Blog,What is blog?,"El blog es un sitio web donde los usuario crean entradas o post, que se organizan cronológicamente iniciando por el más reciente."
Acad_Axi_CD_L4_comunicación asincrónica,What is asynchronous communication?,"In asynchronous communication, participants communicate at different times. There is no interaction match at the same time. Some examples are: Email, Forum, Blog, Wiki."
Acad_Axi_CD_L4_comunicación sincrónica,Synchronous communication characteristics,The characteristics of synchronous communication are: Interlocutors interact with those who are connected in real time. Match at the same time. An example of this is videoconferencing
Acad_Axi_CD_L4_Documentos colaborativos en la nube,Collaborative documents in the cloud,"In collaborative documents in the cloud, all members can edit the same document simultaneously and in real time from the web browser."
Acad_Axi_CD_L4_email,What is email?,Email is an asynchronous communication tool.
Acad_Axi_CD_L4_Foro,What is a forum?,"The forum is defined as a web space where users debate on a particular topic, creating discussion threads."
Acad_Axi_CD_L4_G SUite,What is G Suite?,"G Suite is an example of an office suite in the cloud that allows the creation, editing, as well as collaborative work on different types of documents such as text, spreadsheets and presentations."
Acad_Axi_CD_L4_Red social horizontal,What is horizontal social network?,Horizontal social network are the type of social network that is characterized by being directed to a generic audience and without a defined theme.
Acad_Axi_CD_L4_red social profesional,What is professional social network?,"Red social profesional, son el tipo de red social en que los usuarios están interesados en generar relaciones para encontrar un proveedor, acceder a contactos de alto nivel para networking o compartir conocimientos a través de pequeñas comunidades en el interior de la red."
Acad_Axi_CD_L4_Red social vertical,What is a vertical social network?,Vertical social network is the type of social network that is characterized because from the beginning the audience is segmented by some common interest.
Acad_Axi_CD_L4_SaaS-Software as a Service,What is SaaS?,"Software as a Service, are office automation suites in the cloud, which allow the elaboration of shared documents, such as the SaaS type of Cloud Computing service."
Acad_Axi_CD_L4_Wiki,What is a Wiki?,"Un Wiki es un sitio web en que los usuarios pueden crear, editar, borrar o modificar el contenido de un conjunto de páginas web de forma colaborativa."
Acad_Axi_CD_La infografía se puede realizar únicamente en canva,Can the infographic be made only in canva?,"If you have questions regarding the activity, contact your teacher or the DECODI subject coordinator at your campus for more information"
Acad_Axi_CD_ofimática,What is office automation?,"Office automation: They are the computer techniques, applications and tools, created to be applied in office work."
Acad_Axi_CD_Para qué sirve Excel,What is Excel for?,Excel: It is used for the implementation of basic mathematical calculations such as arithmetic and as complex as statistics or calculation.
Acad_Axi_CD_PowerPoint,What is PowerPoint for?,PowerPoint: Package implemented for the development of dynamic presentations.
Acad_Axi_CD_Que es la concentración,What is concentration?,"According to the Rae, it consists of intensely focusing attention on something."
Acad_Axi_CD_Qué aplicaciones comprenden la Ofimática de Office 365,What applications comprise Office 365 Office Automation?,"Word, Excel, PowerPoint, Outlook"
Acad_Axi_CD_Qué significa multidisciplinar,What does multidisciplinary mean?,"multidisciplinary: According to the definition provided by the RAE, it is that which ""covers or affects several disciplines""."
Acad_Axi_CD_reunión en Outlook,How to call a meeting in Outlook?,"Meeting in Outlook: In calendar, generate a new event. Capture meeting details In attendees add who will be present in it. Check the availability of the attendees and if everything is correct. Send the information."
Acad_Axi_CD_S1_dudas infografia,"In addition to the infographic, is it necessary to add the research previously carried out to the document?","If you have questions regarding the activity, contact your teacher or the DECODI subject coordinator at your campus for more information"
Acad_Axi_COE_ cita bibliográfica,What is a bibliographic citation?,"A bibliographic citation is the mention of a foreign text, idea or phrase, it sends the reader to the source from which the information was obtained, it must have a bibliographic reference."
Acad_Axi_COE_ parafrasear,What is paraphrasing?,"Paraphrasing is replacing words with synonyms, writing ideas in a different way"
Acad_Axi_COE_ Qué es comunicar,What is communicating?,"Communicating is discovering, manifesting or making something known"
Acad_Axi_COE_cita bibliográfica,How should I write the bibliographic citation according to the APA format?,"Bibliographic citation: The bibliographic citation can be written as is with the author's words, as long as it is enclosed in quotation marks and the author is cited, or the citation can be paraphrased, if it is the case, only author and year are entered."
Acad_Axi_COE_Cuál es la estructura de un ensayo,What is the structure of an essay?,"La estructura de un ensayo: Consta de 3 partes fundamentales: introducción, nudo o cuerpo, y conclusión."
Acad_Axi_COE_Cuáles son los elementos de la Comunicación,What are the elements of Communication?,"Sender, message and receiver"
Acad_Axi_COE_Cómo debo de poner una referencia bibliográfica conforme al formato APA,How should I put a bibliographic reference according to the APA format?,"Author Surname and initial (s) of the name (s), Year of publication (in parentheses), Title of the work and subtitle, if any, separated by a colon (in italics or bold), Edition from the second edition, abbreviated with (ed.), Place of publication and Editorial"
Acad_Axi_COE_Cómo se define el mensaje,How is the message defined?,"Mensaje: Es un elemento de la comunicación, que consiste en una cadena finita de señales producidas mediante reglas precisas de combinación, a partir de un código dado."
Acad_Axi_COE_ensayo,What is an essay?,"Essay: A type of prose text that explores, analyzes, interprets, or evaluates a topic. It is a serious and well-founded writing that synthesizes a significant theme."
Acad_Axi_COE_habla,What is speech?,Speak: It is the act in which the language is specified. It is individual and implies choosing and articulating
Acad_Axi_COE_L2_Codificación,What is Coding?,Codificación: proceso en que el emisor emplea un sistema de símbolos para emitir un mensaje.
Acad_Axi_COE_L2_Comunicación Escrita,Written communication,"Written Communication: By putting the message on a medium, this type of communication is characterized by its durability over time."
Acad_Axi_COE_L2_Comunicación Grupal,Group Communication,Group Communication: It is the type of communication between a group of people to achieve something in joint action.
Acad_Axi_COE_L2_Comunicación Interna,Internal communication,Comunicación Interna: Es el tipo de comunicación organizacional que refiere a cómo la organización se relaciona con sus trabajadores y cómo los empleados se relacionan entre ellos.
Acad_Axi_COE_L2_Comunicación Interpersonal,What is Interpersonal Communication?,Comunicación Interpersonal: proceso de comunicación que se lleva a cabo entre dos o más personas.
Acad_Axi_COE_L2_Comunicación Intrapersonal,Intrapersonal communication,Intrapersonal Communication: Communication process carried out with oneself.
Acad_Axi_COE_L2_Comunicación Masiva,Massive communication,Mass Communication: Type of communication that refers to the design and transmission of content to a heterogeneous and anonymous audience through a communication medium.
Acad_Axi_COE_L2_Comunicación Oral,Oral Communication,"Oral Communication: This type of communication is immediate, spontaneous and ephemeral; it is the natural way of communicating for people."
Acad_Axi_COE_L2_Comunicación Organizacional,Organizational Communication,Comunicación Organizacional: Este tipo de comunicación refiere a los procesos de comunicación que se llevan a cabo dentro de una organización para que se mantenga cohesionada y que dan sentido a sus actividades.
Acad_Axi_COE_L2_Comunicación Persuasiva,Persuasive communication,"Comunicación Persuasiva: Es el tipo de comunicación que tiene como propósito formar, reforzar o cambiar actitudes creencias, opiniones, percepciones o conductas de una persona o personas."
Acad_Axi_COE_L2_Decodificación,Decoding,"Decoding: process in which the receiver reworks the message and adds to it part of their experience, their opinions, their culture, their situation."
Acad_Axi_COE_L2_Mensaje,Message,"Message: it is defined as a finite chain of signals produced, by means of precise rules of combination, from a given code."
Acad_Axi_COE_L3_Autocontrol,Self control,"Autocontrol: Es la estrategia de lectura que permite al lector confirmar o rechazar la labor adelantada con las estrategias básicas de lectura (muestreo, predicción e inferencia)."
Acad_Axi_COE_L3_Escritura,Writing,Writing: It is defined as a system of graphic signs whose representation allows to express ideas and thoughts embodied in different types of media.
Acad_Axi_COE_L3_Inferencia,Inference,"Inferencia: Es la estrategia de lectura que permite al lector completar la información explícita de los textos, lo implícito y lo que más adelante el texto explicitará."
Acad_Axi_COE_L3_Lectura,Reading,Reading is the process of reconstructing the complete meaning of the author's communicative intention in a text.
Acad_Axi_COE_L3_Leer,Read,Leer: Se define como el proceso de interacción entre el lector y el texto.
Acad_Axi_COE_L3_Muestreo,Sampling,"Sampling: It is the reading strategy that allows the reader to select the relevant, useful and necessary information when reviewing the structure of the text."
Acad_Axi_COE_L3_Poslectura,Post-reading,Post-reading: Phase of the reading process that consists of verifying comprehension of the text.
Acad_Axi_COE_L3_Prelectura,What is Pre-reading?,Prelectura: Es la fase el proceso lector donde se realiza una revisión rápida de los elementos que componen la estructura del texto.
Acad_Axi_COE_Qué es el lenguaje,What is language?,Language is the human ability to communicate through signs
Acad_Axi_COE_Qué es la comunicación,What is communication?,"la comunicación es: Un acto inherente al hombre, que lo ayuda a expresarse y a conocer más de sí mismo, de los demás y del medio que le rodea"
Acad_Axi_COE_Qué es una referencia bibliográfica,What is a bibliographic reference?,Referencia bibliográfica: Es un conjunto de datos que identifican una idea o frase ajena
Acad_Axi_COE_redactar,What is redaction?,"Write: Put in writing things that happened, agreed or thought previously"
Acad_Axi_DAP_Alcance de un proyecto,Scope of a project,Process that ensures that planning includes all the work required to complete it successfully.
Acad_Axi_DAP_analisis de riesgos,What is a risk analysis and what is it for?,"Risk analysis: When risks are identified and classified, the possibility and consequences of each risk factor are studied in order to establish the risk level of the project, determining which are the risk factors that would potentially have a greater effect on our project and must be managed by the entrepreneur with special attention"
Acad_Axi_DAP_Cuáles son las caracteristicas de lider,What are the characteristics of a leader?,"leader characteristics: Jaime Asnai Gonzalez. (2018). The 7 most important leadership qualities. June 29, 2018, from Michaelpage Website: https://www.michaelpage.es/advice/empresas/consejos-de-iniciacion-del-personal/cualidades-de-liderazgo-mas-importdamientos"
Acad_Axi_DAP_Cómo se llena un acta constitutiva,How do you fill out a charter?,"Laura Sanchez. (2016). How to write a charter? March 15, 2016, from EmprendePYME Website: https://www.emprendepyme.net/como-redactar-un-acta-constitutiva.html Click here"
Acad_Axi_DAP_desarrollo de proyectos,Factors involved in the development of projects,"Project development: Start, Planning, Execution, Closing and Control"
Acad_Axi_DAP_Ejemplos de los diferentes tipos de costos,Examples of the different types of costs,"Different types of costs: CERTUS. (2020). Discover the main types of cost in a company. March 20, 2020, from Certus Website: https://www.certus.edu.pe/blog/tipos-costo-empresa/"
Acad_Axi_DAP_factores de clave de un proyecto,What are key factors of a project?,"Key factors of a project: Nextop. (2018). 10 keys to the success of a project - Projects managed with quality. April 26, 2018, from Nextop Website: Click here for more related information < / a>"
Acad_Axi_DAP_gerencia de proyectos,What is project management culture about?,The following link provides adequate information about what the project management culture is: https://www.redalyc.org/pdf/3579/357935471003.pdf
Acad_Axi_DAP_Objetivos de la administración de proyectos,Objectives of project management,"The objectives of project management are: finish on time, within budget and meet requirements."
Acad_Axi_DAP_objetivos de un proyecto,Purpose or objectives of a project,The purpose of a project is an aspiration to solve a fairly general problem. The objective sets perfectly achievable results by carrying out the project.
Acad_Axi_DAP_pensamiento sistemático,What is systematic thinking and how does it relate to business?,In the following link there is adequate information about what systematic thinking is: https://www.gestiopolis.com/que-es-pensamiento-sistemico/
Acad_Axi_DAP_plan de dirección de proyecto,Project management plan example,The following link provides adequate information about what a project management plan is: https://nextop.es/plan-de-direccion-del-proyecto-2/
Acad_Axi_DAP_Plan de trabajo,Workplan,"Work plan: A work plan must contain the details of the functions and deadlines with which each member must comply, in addition, it must contain the following aspects: Execution period, objectives, obstacles, necessary resources and strategies."
Acad_Axi_DAP_presupuesto para un proyecto,How can I make a budget for a project?,"Adding the estimated costs for the activities or work packages established in the work breakdown structure (WBS), which is the process of dividing the project into smaller and easier-to-manage components. This data will allow you to make an authorized cost baseline."
Acad_Axi_DAP_Proceso de un Plan Estratégico,What are the characteristics of the Strategic Plan process?,"Process of a Strategic Plan: It is comprehensive, (it is a set of mutually related activities). It is continuous (since the review and evaluation of the progress of the strategic plan requires considering new market opportunities). It is systematic (because it contemplates a well-organized and planned action), It is analytical (evidence of the SWOT)"
Acad_Axi_DAP_puntos principales para medir un proceso,What are the main points to measure a process?,"Main points to measure a process: Pablo Herrero. (2020). The importance of measuring processes for efficient management. November 2, 2020, from Saga Advice Website: Click here for more related information"
Acad_Axi_DAP_Qué elementos lleva la ruta crítica,What elements does the critical path carry?,"Una lista de todas las actividades necesarias para finalizar el proyecto, las dependencias entre dichas actividades y una aproximación del tiempo (o duración) de cada actividad."
Acad_Axi_DAP_Qué es un contrato de crédito,What is a credit agreement?,"Credit contract: It is a written agreement by which a credit institution is obliged to make available to a client a certain capital for a certain term, where it is obliged to deliver the amounts that the client orders from aucerod to the agreed terms applying an interest rate on the amounts drawn down."
Acad_Axi_DAP_Qué es una ruta critica,What is a critical path?,Critical path: Method that is used in administrative processes to calculate the time it will take to develop a project. This method is also known as CPM by its English name Critical Path Method
Acad_Axi_DAP_Qué riesgos corre un proyecto,What risks does a project run?,"Your project runs the following risks: Scope Risks, Planning Risks, Resource-Related Risks, and Technology Risks"
Acad_Axi_DAP_Qué tipo de metodos se utilizan para determinar el nivel de riesgos del proyecto,What kinds of methods are used to determine the level of project risks?,"Types of methods are used to determine the risk level of the project: Qualitative Methods, Semi-quantitative Methods and Quantitative Methods"
Acad_Axi_DAP_Qué tipo de tecnología puedo emplear para administrar proyectos,What kind of technology can I use to manage projects?,"technology to use manage projects: Universia. (2012). 10 technological tools to manage projects. November 21, 2012, from Universia Website: https://www.universia.net/ar/actualidad/orientacion-academica/10-herramdamientos-tecnologicas-gestionar-proyectos-983369.html"
Acad_Axi_DAP_reglas para realizar un presupuesto,What kind of rules should I follow to make a budget?,"ENTREPRENEUR STAFF. (2020). Requirements to prepare a budget. December 19, 2020, from Entrepreneur Website: https://www.entrepreneur.com/article/262267 Click here"
