Intents,Query,Response
Acad_Teo_CA_archivan los pedimentos de importación,¿De qué forma se archivan los pedimentos de importación?,"Electrónica. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://omawww.sat.gob.mx/aduanas/importando_exportando/guia_importacion/Paginas/procedimiento_para_importacion_de_mercancias.aspx"""" target=""""_blank"""">Procedimiento para la importación de Mercancías. (Página Web)
</a><br />
<a href=""""http://omawww.sat.gob.mx/aduanas/servicios/Paginas/obligaciones_del_agente_aduanal.aspx” target=""""_blank"""">Obligaciones del agente aduanal. (Página Web)</a><br />
<a href=""""https://www.youtube.com/watch?v=-pfub5zXpGc&t=26s“ target=""""_blank"""">Clasificación arancelaria de mercancías: ¿Cómo se hace? (Video)</a>
<a href=""""https://www.youtube.com/watch?v=LJ2GMkGyJKA"""" target=""""_blank"""">¿Qué es un arancel y cómo funciona? (Video)</a><br />
<a href=""""https://www.youtube.com/watch?v=R3Effi0RFoo"""" target=""""_blank"""">¿Qué es una aduana y cómo funciona? (Video)</a><br />"
Acad_Teo_CA_ayuda la tecnología en el área de compras,¿Cómo ayuda la tecnología en el área de compras?,Optimizando las actividades del área.
Acad_Teo_CA_año se celebró la convención de Viena,¿En qué año se celebró la convención de Viena en donde se hizo referencia a los tratados internacionales?,"1969. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://www.gob.mx/se/acciones-y-programas/comercio-exterior-paises-con-tratados-y-acuerdos-firmados-con-mexico"""" target=""""_blank"""">Contratos Internacionales. (Página Web)</a><br />
<a href=""""http://www.diputados.gob.mx/sedia/sia/spi/SAPI-ISS-10-12.pdf” target=""""_blank"""">Los tratados internacionales en México (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=jCM-BmR3HZY“ target=""""_blank"""">¿Qué es un tratado internacional y cómo funciona? (Video)</a>
<a href=""""https://www.youtube.com/watch?v=MW7cttkdXns"""" target=""""_blank"""">Los organismos de comercio internacional (Video)</a><br />
<a href=""""https://www.youtube.com/watch?v=_f4J6j1kpLE&t=29s"""" target=""""_blank"""">¿Qué es un tratado de libre comercio? TLC. (Video)</a><br />"
Acad_Teo_CA_base sobre la cual los procesos de la cadena de suministro se ejecutan,¿Qué proporciona la base sobre la cual los procesos de la cadena de suministro se ejecutan?,"Información. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://www.emaze.com/@AFRCIQOC/demandas-cclicas"""" target=""""_blank"""">Demandas cíclicas de producción. (PDF)</a><br />
<a href=""""https://alandap.files.wordpress.com/2015/10/administracion-de-la-cadena-de-suministro-estrategia-planeacion-y-operacion-sunil-chopra-peter-meindl.pdf” target=""""_blank"""">El Papel De La TI En La Cadena De Suministro (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=Sc7hTkYdbxo“ target=""""_blank""""> Volumen óptimo de pedido | Gestión de stocks (Video)</a>
<a href=""""https://www.youtube.com/watch?v=4mPmc37pP-w"""" target=""""_blank"""">Gestión de pedidos – KPI’s Logísticos – Indicadores de desempeño logístico (Video)</a><br />
<a href=""""https://www.youtube.com/watch?v=PuEQro2dVdg"""" target=""""_blank"""">Indicadores de desempeño de compras – KPI Compras – Porcentaje de proveedores evaluados. (Video)</a><br />"
Acad_Teo_CA_beneficio de hacer un inventario físico,¿Cuál es el beneficio de hacer un inventario físico?,"Identificar discrepancias. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://www.icicm.com/files/ADMON_INVENT_ALM.doc"""" target=""""_blank"""">Precio. (PDF)</a><br />
<a href=""""http://www.ptolomeo.unam.mx:8080/xmlui/bitstream/handle/132.248.52.100/12457/Informe.pdf?sequence=1” target=""""_blank"""">Implementación De Un Nuevo Sistema De Resurtido (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=rpM5Sbg7TjQ&index=13&list=PLjo3pajcmevSaJgaJ0Qshus5bq6VbHCTq“ target=""""_blank Administración de almacenes 8- Qué es el método ABC Control de inventarios parte 1.  (Video)</a>
<a href=""""https://www.youtube.com/watch?v=apRwXXJJoBo&index=11&list=PLjo3pajcmevSaJgaJ0Qshus5bq6VbHCTq"""" target=""""_blank"""">Administración de almacenes 9 Máximos y mínimos de inventario parte 1.  (Video)</a><br />"
Acad_Teo_CA_calcula el ciclo de operación,¿Cómo se calcula el ciclo de operación?,"RID + CCD. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://archivos.juridicas.unam.mx/www/bjv/libros/10/4662/6.pdf"""" target=""""_blank"""">La agencia aduanal (PDF)
</a><br />
<a href=""""https://catedrafinancierags.files.wordpress.com/2014/09/fundamentos-de-administracion-financiera-13-van-horne.pdf” target=""""_blank"""">Ciclo De Operación Contra Ciclo De Efectivo (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=uHQOeClXdaA“ target=""""_blank"""">¿Cómo entender la Ley Aduanera? Título 1. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=PjJBhvgEhVM"""" target=""""_blank"""">¿Cómo entender la Ley Aduanera? Título 2. (Video)</a><br />
<a href=""""https://www.youtube.com/watch?v=tHjdyYI-11I"""" target=""""_blank"""">Requisitos para importar a México (Video)</a><br />"
Acad_Teo_CA_Calidad,¿A qué se refiere calidad?,"Se refiere a cumplir con la conveniencia, disponibilidad, costo, sistematización y control, para que los productos sean del agrado de los clientes."
Acad_Teo_CA_cantidad de defectos que el cliente,¿Qué es medido por la cantidad de defectos que el cliente reporta en sus procesos?,"Calidad del producto. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://www.redalyc.org/pdf/205/20511730008.pdf"""" target=""""_blank"""">Selección de proveedores: una aproximación al estado del arte. (PDF)</a><br />
<a href=""""https://dialnet.unirioja.es/descarga/articulo/3739228.pdf” target=""""_blank"""">Selección De Proveedores Usando El Método Moora. (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=GQxbpF1XYz0“ target=""""_blank"""">Selección de proveedores. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=d8yijmUhw2Y&t=248s"""" target=""""_blank"""">Administración de compras: Como buscar proveedores nacionales y extranjeros. (Video)</a><br />"
Acad_Teo_CA_cantidad de reabasto,"En el modelo del VMI, ¿quién decide sobre la cantidad de reabasto?","Proveedor. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://www.umng.edu.co/documents/10162/745279/V2N2_9.pdf"""" target=""""_blank"""">Coordinación De Existencias Mediante La Administración De Inventarios Por Parte Del Proveedor – VM. (PDF)</a><br />
<a href=""""https://www.datalliance.com/es/what-is-vmi” target=""""_blank"""">¿Qué es el Inventario Administrado por el Proveedor (VMI)?  (Página Web)</a><br />
<a href=""""https://www.youtube.com/watch?v=n6f6DDgT_aw“ target=""""_blank"""">VMI – Vendor Manager Inventory para IMMEX. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=ruphZ31NmOY"""" target=""""_blank"""">VMI IMMEX  (Video)</a><br />"
Acad_Teo_CA_característica tienen las cotizaciones de materias primas,¿Qué característica tienen las cotizaciones de materias primas?,"Fluctúan a diario. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://alandap.files.wordpress.com/2015/10/administracion-de-la-cadena-de-suministro-estrategia-planeacion-y-operacion-sunil-chopra-peter-meindl.pdf"""" target=""""_blank"""">Determinación Del Nivel Adecuado Del Inventario De Seguridad. (PDF)</a><br />
<a href=""""https://cuadernosdelprofesor.files.wordpress.com/2016/01/libro-admondecomprasyabastecimientos.pdf” target=""""_blank"""">Precio. (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?time_continue=249&v=tjCpa921ueY“ target=""""_blank"""">Cadena de suministro.  (Video)</a>
<a href=""""https://www.youtube.com/watch?v=KTErlTcwt64"""" target=""""_blank"""">Acciones para bajar tus niveles de inventario (Video)</a><br />"
Acad_Teo_CA_Características de la cadena de suministro,Características de la cadena de suministro.,"Es necesario para construir un índice de evaluación apropiado para un proveedor. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://congreso.investiga.fca.unam.mx/docs/xix/docs/16.03.pdf"""" target=""""_blank"""">Proceso Para El Diseño De Un Sistema De Evaluación Y Selección De Proveedores. (PDF)</a><br />
<a href=""""http://www.scielo.org.co/pdf/eia/n15/n15a07.pdf” target=""""_blank"""">Selección De Proveedores Usando El Despliegue De La Función De Calidad Difusa. (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=AVjVquodhBI“ target=""""_blank"""">Selección y evaluación de proveedores. (Video)</a>
<a href=""""http://www.wilsoft-la.com/productos/qsupplier-control-y-evaluacion-de-proveedores/"""" target=""""_blank"""">QSUPPLIER Control, evaluación y desarrollo de proveedores.  (Página Web)</a><br />"
Acad_Teo_CA_características debe tener la información de la cadena de suministro,¿Qué características debe tener la información de la cadena de suministro?,"Precisa y oportuna. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://es.scribd.com/doc/106183798/Importancia-de-la-relacion-y-comunicacion-de-Compras-con-los-demas-departamentos-de-la-organizacion"""" target=""""_blank"""">Importancia de la relación y comunicación de Compras con los demás departamentos de la organización. (PDF)</a><br />
<a href=""""https://alandap.files.wordpress.com/2015/10/administracion-de-la-cadena-de-suministro-estrategia-planeacion-y-operacion-sunil-chopra-peter-meindl.pdf” target=""""_blank"""">Tecnología De La Información En La Cadena De Suministro  (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=YkikvkEYnws“ target=""""_blank"""">Sistemas de información de soporte a la gestión de la cadena de suministro, SCM||UPV (Video)</a>
<a href=""""https://www.youtube.com/watch?v=_ysrPuk0fgM"""" target=""""_blank"""">Gestión de la cadena de suministro (SCM). (Video)</a><br />"
Acad_Teo_CA_carecer de inventarios de materia prima,¿Qué efecto causa el carecer de inventarios de materia prima?,"Detener la producción. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://cuadernosdelprofesor.files.wordpress.com/2016/01/libro-admondecomprasyabastecimientos.pdf"""" target=""""_blank"""">Precio. (PDF)</a><br />
<a href=""""http://ual.dyndns.org/Biblioteca/Costos_II/Pdf/Unidad_07.pdf” target=""""_blank"""">Administración de inventarios (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=w6Tqcu8uJfI“ target=""""_blank"""">¿Qué es el control de inventarios? (Video)</a>
<a href=""""https://www.youtube.com/watch?v=apRwXXJJoBo&index=11&list=PLjo3pajcmevSaJgaJ0Qshus5bq6VbHCTq"""" target=""""_blank"""">Administración de almacenes 6- Cómo calcular el inventario promedio (Video)</a><br />"
Acad_Teo_CA_Comité de adquisiciones,¿De que trata el comité de adquisiciones?,"Se trata de un órgano colegiado que tiene la facultad de establecer lineamientos sobre los procesos de compra y se encarga de aprobar las excepciones a la licitación pública. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://repositorio.cepal.org/bitstream/handle/11362/5583/S2002616_es.pdf;jsessionid=9B1E08C319F4170B431E616DFE1CE720?sequence=1"""" target=""""_blank"""">Manual de licitaciones públicas. (PDF)</a><br />
<a href=""""http://imco.org.mx/wp-content/uploads/2013/7/Guia_de_compras_publicas_011012.pdf” target=""""_blank"""">Guía pública de compras públicas (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=HIYOJX_n57w&t=7s“ target=""""_blank"""">Qué son las licitaciones. Concursos de adquisiciones y COMPRANET. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=EwfX1mx8wfg"""" target=""""_blank"""">¿Qué es licitación pública? (Video)</a><br />
<a href=""""https://www.youtube.com/watch?v=XHuVegT4AfU&t=8s"""" target=""""_blank"""">Introducción a las compras públicas #1 (Video)</a><br />"
Acad_Teo_CA_Comité de compras,¿Qué es el comité de compras?,Instancia que congrega a los representantes y funcionarios de un departamento y que tiene la responsabilidad de aprobar procedimientos de selección y aprobación de un dictamen previo a la firma de adjudicación.
Acad_Teo_CA_competitivas del área de compras,¿En donde se encuentran las fuentes competitivas del área de compras?,"La cooperación. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://www.redalyc.org/articulo.oa?id=20604905"""" target=""""_blank"""">Costos Transaccionales y Cadena de Abastecimiento: Un Asunto de Competitividad. (PDF)</a><br />
<a href=""""http://www.web.facpya.uanl.mx/vinculategica/Revistas/754-765%20GESTION%20DE%20LA%20CADENA%20DE%20SUMINISTROS%20REVISION%20DEL%20MARCO%20TEORICO%20(FACTORES%20DE%20MEDICION)..pdf” target=""""_blank"""">Gestión de la cadena de suministro: Revisión del marco teórico (Factores de medición). (PDF)</a><br />
<a href=""""http://virtual.umng.edu.co/distancia/ecosistema/odin/odin_desktop.php?path=Li4vb3Zhcy9kaXBsb21hZG9zL2RpcGxvbWFkb19kZV9sb2dpc3RpY2FfaW50ZWdyYWwvdW5pZGFkXzIv#slide_1"""" target=""""_blank"""">Proceso de Gestión de Compras-INDE. (Página Web)</a>
<a href=""""https://www.youtube.com/watch?v=8dLwNVBeNQs"""" target=""""_blank"""">Gestión de aprovisionamiento. (Video)</a><br />"
Acad_Teo_CA_componentes comprados para fabricar productos,¿Cuáles son los componentes comprados para fabricar productos terminados?,"Materiales directos. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://alandap.files.wordpress.com/2015/10/administracion-de-la-cadena-de-suministro-estrategia-planeacion-y-operacion-sunil-chopra-peter-meindl.pdf"""" target=""""_blank"""">El proceso de aprovisionamiento (PDF)</a><br />
<a href=""""http://fhm-conference.com/sitio/proceso-estandar-de-operacion-administracion-de-refacciones-y-almacen/” target=""""_blank"""">Proceso estándar de operación: Administración de refacciones y almacén. (Página Web)</a><br />
<a href=""""https://www.youtube.com/watch?v=3ihRUiK6McM“ target=""""_blank"""">Como mejorar los resultados de tu almacén y reducir sus costos de operación. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=hEcIU0LBLi4"""" target=""""_blank"""">Acciones para bajar tus niveles de inventario (Video)</a><br />
<a href=""""https://www.youtube.com/watch?v=tBpArTSo1BA"""" target=""""_blank"""">Comprar o producir: teoría y ejercicio resuelto (Video)</a><br />"
Acad_Teo_CA_compra internacional por medio de un tercero,¿Cuál es la modalidad de compra internacional por medio de un tercero?,"Agente de compras. <br /> Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://prezi.com/cckfwbl0mumr/gestion-de-compras-internacionales/"""" target=""""_blank"""">Gestión De Compras Internacionales. (Página Web)
</a><br />
<a href=""""http://smarterworkspaces.kyocera.es/blog/gestion-de-compras-internacionales-claves-para-optimizarla/” target=""""_blank"""">Gestión de Compras Internacionales. Claves para optimizarla. (Página Web)</a><br />
<a href=""""https://www.youtube.com/watch?v=yRVE29AvCyQ&t=71s“ target=""""_blank"""">Compras nacionales y al extranjero (Video)</a>
<a href=""""https://vimeo.com/34479469"""" target=""""_blank"""">Incoterms. Suplly Chain. Valdez (Video)</a><br />
<a href=""""https://www.youtube.com/watch?v=plpyWJhNP08"""" target=""""_blank"""">Incoterms. El lenguaje común del comercio internacional. (Video)</a><br />"
Acad_Teo_CA_comprador para efectuar una compra al extranjero,¿Qué investigación debe hacer el comprador para efectuar una compra al extranjero?,"Los principales proveedores. <br /> Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://prezi.com/cckfwbl0mumr/gestion-de-compras-internacionales/"""" target=""""_blank"""">Gestión De Compras Internacionales. (Página Web)
</a><br />
<a href=""""http://smarterworkspaces.kyocera.es/blog/gestion-de-compras-internacionales-claves-para-optimizarla/” target=""""_blank"""">Gestión de Compras Internacionales. Claves para optimizarla. (Página Web)</a><br />
<a href=""""https://www.youtube.com/watch?v=yRVE29AvCyQ&t=71s“ target=""""_blank"""">Compras nacionales y al extranjero (Video)</a>
<a href=""""https://vimeo.com/34479469"""" target=""""_blank"""">Incoterms. Suplly Chain. Valdez (Video)</a><br />
<a href=""""https://www.youtube.com/watch?v=plpyWJhNP08"""" target=""""_blank"""">Incoterms. El lenguaje común del comercio internacional. (Video)</a><br />"
Acad_Teo_CA_Comprar,¿A que se refiere comprar?,"Se refiere a la acción de adquirir materias primas o cualquier artículo, con las características mínimas necesarias requeridas por una empresa."
Acad_Teo_CA_compras de acuerdo al producto que ofertan,¿Cuál es la clasificación de la compras de acuerdo al producto que ofertan?,Bienes y servicios.
Acad_Teo_CA_Compras internacionales,¿Qué son las compras internacionales?,Tipo de compras que se efectúa entre dos o más países y se rige por la legislación de los involucrados.
Acad_Teo_CA_Compras nacionales,¿Qué son las compras nacionales?,"Son las compras que se efectúan dentro de las fronteras de un país, apegadas a sus leyes. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://moodle2.unid.edu.mx/dts_cursos_mdl/ejec/AE/CI/S09/CI09_Lectura.pdf"""" target=""""_blank"""">Administración de compras e inventarios. (PDF)</a><br />
<a href=""""https://curiosoando.com/cuales-son-las-principales-diferencias-entre-el-sector-publico-y-el-sector-privado” target=""""_blank"""">¿Cuáles serían las principales diferencias entre el sector público y el sector privado?  (Página Web)</a><br />
<a href=""""https://www.youtube.com/watch?v=2dE3WKJ9aIs&t=28s“ target=""""_blank"""">Compras públicas (Video)</a>
<a href=""""https://www.youtube.com/watch?v=MhefaVgG0vQ&t=20s"""" target=""""_blank"""">Logística y distribución física internacional – Negocios internacionales. (Video)</a><br />"
Acad_Teo_CA_compuesta la infraestructura operativa,¿Cómo está compuesta la infraestructura operativa?,"Maquinaria y equipo. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://www.redalyc.org/pdf/816/81619829002.pdf"""" target=""""_blank"""">Decisión de Comprar o Alquilar Activos Fijos. (PDF)</a><br />
<a href=""""https://alandap.files.wordpress.com/2015/10/administracion-de-la-cadena-de-suministro-estrategia-planeacion-y-operacion-sunil-chopra-peter-meindl.pdf” target=""""_blank"""">Selección de Proveedores, Subastas y Negociaciones. (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=KTPu6TSWbX0“ target=""""_blank"""">Identificación y protección de activos en la empresa.. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=wU6_lkEZ3DU"""" target=""""_blank"""">12 técnicas para negociar (Video)</a><br />
<a href=""""https://www.youtube.com/watch?v=rh-FlubQOnc"""" target=""""_blank"""">Estrategias de negociación, cómo negociar con éxito. (Video)</a><br />"
Acad_Teo_CA_Comunicación,¿Qué es la comunicación?,Es uno de los factores principales que funge como barrera en las compras internacionales.
Acad_Teo_CA_Concedente,¿Qué es concedente?,Entidad pública que otorga un contrato de concesión.
Acad_Teo_CA_Concesionario,¿Qué es concesionario?,Toda persona física o jurídica beneficiaría de un contrato de concesión.
Acad_Teo_CA_considerar en un pedido internacional,¿Qué costo es necesario considerar en un pedido internacional?,"Incoterms. <br /> Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://prezi.com/cckfwbl0mumr/gestion-de-compras-internacionales/"""" target=""""_blank"""">Gestión De Compras Internacionales. (Página Web)
</a><br />
<a href=""""http://smarterworkspaces.kyocera.es/blog/gestion-de-compras-internacionales-claves-para-optimizarla/” target=""""_blank"""">Gestión de Compras Internacionales. Claves para optimizarla. (Página Web)</a><br />
<a href=""""https://www.youtube.com/watch?v=yRVE29AvCyQ&t=71s“ target=""""_blank"""">Compras nacionales y al extranjero (Video)</a>
<a href=""""https://vimeo.com/34479469"""" target=""""_blank"""">Incoterms. Suplly Chain. Valdez (Video)</a><br />
<a href=""""https://www.youtube.com/watch?v=plpyWJhNP08"""" target=""""_blank"""">Incoterms. El lenguaje común del comercio internacional. (Video)</a><br />"
Acad_Teo_CA_Convocatoria,¿Qué es una convocatoria?,Llamado público y formal a participar en algún proceso de contratación pública.
Acad_Teo_CA_Costes financieros,¿Qué son los costes financieros?,Son las erogaciones que hace la empresa para mantener niveles económicos elevados de stock.
